Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0002,0.0001,0.0022,0.1803,0.1854,0.186,0.2933
be,0.0242,0.0255,0.0231,0.2309,0.2457,0.2371,0.3308
de,0.0251,0.0271,0.0234,0.2529,0.2601,0.2586,0.3556
en,0.0017,0.0009,0.0232,0.2677,0.2842,0.2722,0.3656
es,0.0219,0.0206,0.0235,0.2833,0.2902,0.2936,0.3972
fr,0.0004,0.0002,0.0045,0.1397,0.1397,0.1397,0.2438
ja,0.0022,0.0011,0.023,0.2304,0.2432,0.2335,0.3154
lt,0.0017,0.0009,0.0232,0.235,0.2466,0.257,0.3543
ru,0.0018,0.0009,0.0235,0.2913,0.2988,0.2974,0.3857
uk,0.0022,0.0012,0.0233,0.2637,0.2688,0.2738,0.3635
zh,0.0006,0.0003,0.0065,0.2625,0.2689,0.2691,0.361
