Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0201,0.4254,0.0103,0.2101,0.2217,0.2219,0.3484
be,0.1999,0.4294,0.1303,0.3157,0.3238,0.3282,0.4481
de,0.2381,0.4965,0.1566,0.346,0.3598,0.3552,0.4864
en,0.0365,0.0206,0.1571,0.3853,0.4047,0.4029,0.5295
fr,0.0089,0.9246,0.0045,0.1397,0.1397,0.1397,0.244
ja,0.0149,0.0078,0.1469,0.3303,0.3387,0.3389,0.45
lt,0.1223,0.1052,0.1459,0.2836,0.2879,0.3049,0.4205
ru,0.2366,0.5019,0.1548,0.2923,0.3017,0.3003,0.4214
uk,0.2274,0.5005,0.1471,0.3346,0.344,0.3482,0.466
zh,0.2486,0.8018,0.1471,0.2875,0.2977,0.3009,0.4158
