Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0002,0.0001,0.0024,0.1807,0.1923,0.1925,0.3039
be,0.0006,0.0003,0.0067,0.2765,0.2843,0.2875,0.4004
de,0.0025,0.0014,0.0119,0.288,0.291,0.3034,0.4155
en,0.0104,0.0087,0.0131,0.331,0.3341,0.3465,0.4687
fr,0.0085,0.4349,0.0043,0.1324,0.1324,0.1324,0.2323
ja,0.0006,0.0003,0.0063,0.2657,0.2679,0.2812,0.3871
lt,0.0019,0.0011,0.0114,0.2405,0.2425,0.2509,0.3712
ru,0.0076,0.0085,0.0069,0.3189,0.3251,0.3316,0.447
uk,0.0006,0.0003,0.0063,0.301,0.3113,0.3063,0.4276
zh,0.0061,0.0055,0.0068,0.2832,0.2859,0.2902,0.3991
