Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0039,0.0144,0.0023,0.1951,0.2068,0.1998,0.3194
be,0.0345,0.0488,0.0267,0.2468,0.2658,0.2638,0.3853
de,0.0143,0.0184,0.0117,0.3408,0.3608,0.3426,0.466
en,0.0439,0.0549,0.0366,0.3715,0.388,0.3836,0.5072
fr,0.0089,0.6259,0.0045,0.1397,0.1397,0.1397,0.2443
ja,0.0122,0.0157,0.01,0.2529,0.2662,0.2627,0.3763
lt,0.0032,0.0019,0.0115,0.2475,0.2511,0.2675,0.3881
ru,0.0,0.0,0.0,0.0,0.0,0.0,
uk,0.0385,0.0436,0.0344,0.2624,0.2744,0.2637,0.3875
zh,0.012,0.0155,0.0098,0.2453,0.2488,0.2611,0.3788
