Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0038,0.0076,0.0025,0.1352,0.1377,0.1383,0.2319
be,0.0298,0.0342,0.0264,0.2032,0.205,0.2086,0.3171
de,0.0079,0.0075,0.0083,0.2291,0.2316,0.2333,0.3403
en,0.0296,0.0268,0.0331,0.2363,0.2432,0.2445,0.3572
fr,0.0108,0.3744,0.0055,0.088,0.0877,0.0882,0.1617
ja,0.0069,0.0066,0.0072,0.1707,0.1741,0.1706,0.2691
lt,0.0032,0.0019,0.0095,0.215,0.2164,0.224,0.3378
ru,0.0078,0.0076,0.008,0.2223,0.2244,0.2259,0.3401
uk,0.0053,0.003,0.0262,0.216,0.219,0.2185,0.3302
zh,0.011,0.0097,0.0126,0.248,0.2483,0.252,0.3669
