Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0,0.0,0.0,0.0441,0.0441,0.0441,0.0844
be,0.007,0.3323,0.0036,0.0923,0.0953,0.0907,0.1632
de,0.0055,0.1401,0.0028,0.0819,0.0821,0.0822,0.1475
en,0.0094,0.2216,0.0048,0.1748,0.1785,0.1777,0.2891
fr,0.0067,0.7955,0.0034,0.0776,0.0806,0.076,0.1409
hy,0.0031,0.2526,0.0015,0.0411,0.0438,0.0399,0.0767
ja,0.0004,0.0216,0.0002,0.07,0.0701,0.0699,0.1293
lt,0.0066,0.2178,0.0034,0.0776,0.0806,0.076,0.1402
ru,0.0039,0.1148,0.002,0.0793,0.0817,0.0846,0.151
uk,0.0081,0.2075,0.0041,0.0666,0.0746,0.0639,0.1175
zh,0.0044,0.3151,0.0022,0.0837,0.0859,0.0829,0.1517
