Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0264,0.0157,0.0832,0.2982,0.2995,0.3099,0.4592
be,0.1519,0.2358,0.112,0.383,0.3851,0.3892,0.5369
de,0.2197,0.6851,0.1309,0.3937,0.3952,0.4095,0.5509
en,0.1315,0.1197,0.1458,0.4467,0.4466,0.4683,0.5996
es,0.0718,0.0476,0.1461,0.4277,0.4276,0.4562,0.5865
fr,0.0449,0.9022,0.023,0.2666,0.2667,0.2665,0.4191
ja,0.0679,0.0409,0.2002,0.4126,0.4179,0.4341,0.5589
lt,0.1898,0.1917,0.188,0.4034,0.4153,0.4183,0.5647
ru,0.1026,0.0892,0.1206,0.3953,0.3934,0.418,0.5553
uk,0.0819,0.0594,0.1314,0.3707,0.3724,0.3915,0.5284
zh,0.0595,0.0382,0.1342,0.3937,0.401,0.4092,0.5432
