Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0782,0.2438,0.0466,0.2905,0.2892,0.2998,0.4385
be,0.1632,0.2584,0.1192,0.3943,0.395,0.3989,0.522
de,0.2079,0.6032,0.1256,0.3961,0.3953,0.4078,0.5296
en,0.1877,0.1686,0.2115,0.3975,0.402,0.4112,0.539
es,0.0973,0.0645,0.1982,0.4107,0.415,0.4154,0.5441
fr,0.0434,0.4881,0.0227,0.2599,0.26,0.2598,0.409
ja,0.0433,0.0269,0.1114,0.3774,0.376,0.3922,0.5165
lt,0.0762,0.048,0.1841,0.3784,0.3818,0.3932,0.5217
ru,0.0477,0.0274,0.1844,0.3642,0.3685,0.3787,0.4984
uk,0.0828,0.0524,0.1979,0.391,0.3953,0.4018,0.5261
zh,0.0557,0.0368,0.1142,0.3384,0.3359,0.3556,0.4707
