Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.022,0.0131,0.0696,0.2984,0.2995,0.3102,0.4578
be,0.1283,0.11,0.1539,0.4337,0.441,0.4492,0.5904
de,0.0774,0.0525,0.1467,0.4451,0.4489,0.4714,0.601
en,0.1394,0.1036,0.2129,0.4715,0.4747,0.4961,0.6242
es,0.0588,0.0366,0.1489,0.4438,0.4547,0.4753,0.6057
fr,0.0449,0.9022,0.023,0.2666,0.2667,0.2665,0.4191
ja,0.0972,0.0616,0.2304,0.4185,0.4249,0.4354,0.5601
lt,0.0479,0.0292,0.1325,0.4332,0.4391,0.4551,0.5934
ru,0.0657,0.0429,0.1397,0.4214,0.4268,0.4381,0.5759
uk,0.0519,0.0317,0.1444,0.4393,0.4493,0.4719,0.5979
zh,0.062,0.0357,0.2332,0.4179,0.4294,0.4317,0.5598
