Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0109,0.2177,0.0056,0.1321,0.1329,0.1447,0.248
be,0.0051,0.0108,0.0033,0.1538,0.1585,0.156,0.2602
de,0.005,0.0066,0.0041,0.1826,0.1836,0.1858,0.3032
en,0.0087,0.0066,0.0128,0.1772,0.1804,0.1792,0.2921
fr,0.0042,0.7831,0.0021,0.0955,0.0953,0.0956,0.1741
ja,0.028,0.028,0.028,0.1739,0.1768,0.1743,0.2869
lt,0.0021,0.0024,0.0019,0.1781,0.187,0.1822,0.2996
ru,0.0263,0.0269,0.0257,0.1668,0.1685,0.1724,0.2823
uk,0.0275,0.0293,0.026,0.2125,0.2181,0.2126,0.339
zh,0.0324,0.0591,0.0223,0.1865,0.1881,0.1979,0.3177
