Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0042,0.0126,0.0025,0.2033,0.2095,0.208,0.3047
be,0.007,0.0071,0.0069,0.2504,0.2681,0.256,0.3145
de,0.0065,0.0065,0.0066,0.2343,0.2468,0.2405,0.2943
en,0.0068,0.007,0.0066,0.2333,0.2534,0.2335,0.293
es,0.008,0.1546,0.0041,0.2373,0.245,0.2416,0.3146
fr,0.0088,0.4296,0.0045,0.1324,0.1324,0.1324,0.2321
hy,0.0028,0.2065,0.0014,0.0853,0.0882,0.0841,0.1541
ja,0.0066,0.0064,0.0068,0.2398,0.246,0.2467,0.2986
lt,0.0068,0.0072,0.0065,0.2332,0.2461,0.2375,0.3078
ru,0.006,0.0054,0.0068,0.2342,0.2453,0.2341,0.2868
uk,0.007,0.007,0.007,0.2723,0.2826,0.2783,0.3465
zh,0.0061,0.0054,0.0069,0.2575,0.2679,0.2635,0.3081
