Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0119,0.5463,0.006,0.2694,0.2751,0.2722,0.4113
be,0.0109,0.3941,0.0055,0.391,0.4051,0.3991,0.5393
de,0.0002,0.0001,0.0054,0.385,0.4001,0.3844,0.536
en,0.0139,0.5812,0.0071,0.4571,0.4712,0.4579,0.5996
es,0.0039,0.0028,0.0067,0.3778,0.3928,0.3917,0.5445
fr,0.0035,0.6759,0.0018,0.1366,0.1385,0.136,0.2392
ja,0.0139,0.4724,0.0071,0.4283,0.4421,0.4344,0.5672
lt,0.0134,0.5451,0.0068,0.3689,0.383,0.3696,0.5104
ru,0.0032,0.0023,0.0055,0.4182,0.4283,0.4266,0.5771
uk,0.0041,0.0029,0.007,0.413,0.4271,0.4211,0.5607
zh,0.008,0.0182,0.0051,0.3818,0.3941,0.3831,0.531
