Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.004,0.3316,0.002,0.0897,0.0938,0.0887,0.1607
be,0.0086,0.1741,0.0044,0.1072,0.1137,0.1055,0.1839
de,0.0088,0.1932,0.0045,0.1299,0.1363,0.1281,0.2173
en,0.0089,0.222,0.0045,0.1518,0.1582,0.15,0.2502
fr,0.0067,0.5866,0.0034,0.0775,0.0804,0.0761,0.1412
hy,0.0034,0.3354,0.0017,0.0484,0.051,0.0472,0.0901
ja,0.0088,0.1944,0.0045,0.1146,0.1213,0.1129,0.1961
lt,0.0091,0.1929,0.0047,0.0971,0.1097,0.0971,0.1729
ru,0.0094,0.2104,0.0048,0.1416,0.1468,0.1425,0.2387
uk,0.0086,0.1532,0.0044,0.115,0.1215,0.1132,0.1944
zh,0.0088,0.2244,0.0045,0.1222,0.1363,0.1183,0.2036
