Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0633,0.1472,0.0404,0.2901,0.293,0.2997,0.4436
be,0.1366,0.3255,0.0864,0.367,0.3652,0.3813,0.5045
de,0.0439,0.0288,0.0922,0.3727,0.3709,0.3887,0.5183
en,0.0313,0.0204,0.068,0.3352,0.3333,0.3534,0.4864
fr,0.0345,0.4423,0.018,0.2558,0.2564,0.2553,0.4036
lt,0.039,0.0255,0.0831,0.3435,0.3419,0.36,0.5007
ru,0.0336,0.0221,0.07,0.3484,0.3465,0.3697,0.5043
uk,0.0695,0.0641,0.076,0.3748,0.3725,0.3935,0.5244
