Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0044,0.2438,0.0022,0.1266,0.1307,0.1256,0.2157
be,0.0103,0.2195,0.0053,0.1316,0.1394,0.1293,0.2178
de,0.0091,0.2117,0.0047,0.1666,0.1731,0.1648,0.27
en,0.0088,0.1796,0.0045,0.1373,0.151,0.1355,0.2275
fr,0.0067,0.7,0.0034,0.0775,0.0804,0.0761,0.1412
hy,0.0035,0.432,0.0017,0.0631,0.0657,0.0619,0.1165
ja,0.0091,0.2362,0.0047,0.1403,0.146,0.1402,0.2338
lt,0.0102,0.2414,0.0052,0.126,0.1319,0.1248,0.2145
ru,0.0089,0.2319,0.0045,0.1446,0.1582,0.1427,0.2376
uk,0.0089,0.1759,0.0046,0.1519,0.1584,0.1501,0.2469
zh,0.0088,0.2112,0.0045,0.1226,0.129,0.1209,0.2054
