Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0125,0.4587,0.0063,0.2982,0.3034,0.309,0.4549
be,0.0043,0.0031,0.0069,0.3722,0.3843,0.388,0.5249
de,0.0108,0.4245,0.0055,0.3791,0.399,0.3862,0.5389
en,0.0136,0.5983,0.0069,0.4238,0.4442,0.423,0.574
es,0.0132,0.475,0.0067,0.3683,0.3806,0.3764,0.53
fr,0.0035,0.9865,0.0018,0.1439,0.1458,0.1434,0.2508
ja,0.0032,0.0023,0.0055,0.4066,0.4284,0.4211,0.5627
lt,0.0135,0.4772,0.0069,0.3722,0.3916,0.3807,0.5268
ru,0.0109,0.8687,0.0055,0.3692,0.3879,0.3715,0.5199
uk,0.0125,0.4555,0.0063,0.4085,0.4345,0.4149,0.5615
zh,0.0103,0.6028,0.0052,0.369,0.3892,0.3758,0.5334
