Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0032,0.1932,0.0016,0.0585,0.0588,0.0581,0.1089
be,0.0086,0.1854,0.0044,0.1107,0.1213,0.1091,0.1892
de,0.0082,0.1813,0.0042,0.1005,0.1072,0.0986,0.171
en,0.0091,0.2416,0.0046,0.1666,0.1726,0.1662,0.2718
fr,0.0067,0.3608,0.0034,0.0776,0.0806,0.076,0.1407
hy,0.0,0.0,0.0,0.0368,0.0368,0.0368,0.0707
ja,0.0038,0.169,0.0019,0.0886,0.0956,0.0879,0.1569
lt,0.0071,0.1728,0.0036,0.0793,0.0861,0.0771,0.1406
ru,0.0077,0.2111,0.0039,0.1122,0.1236,0.1088,0.1882
uk,0.0085,0.1648,0.0044,0.1034,0.1216,0.1003,0.1749
zh,0.0004,0.0261,0.0002,0.0662,0.0662,0.0662,0.1216
