Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0066,0.1858,0.0034,0.159,0.1682,0.1571,0.2498
be,0.0101,0.1567,0.0052,0.2133,0.2245,0.2114,0.2851
de,0.0101,0.1397,0.0053,0.2253,0.2392,0.2212,0.2939
en,0.0103,0.1515,0.0053,0.2432,0.2543,0.2433,0.32
es,0.01,0.145,0.0052,0.2353,0.2467,0.2335,0.3161
fr,0.0067,0.438,0.0034,0.0849,0.0878,0.0835,0.1531
ja,0.0099,0.166,0.0051,0.2008,0.2098,0.2047,0.2832
lt,0.0095,0.135,0.0049,0.2179,0.2312,0.2138,0.2988
ru,0.0099,0.1348,0.0052,0.213,0.2243,0.2102,0.2775
uk,0.0101,0.1349,0.0052,0.2424,0.2537,0.2396,0.3019
zh,0.0099,0.1572,0.0051,0.1961,0.2097,0.193,0.2651
