Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0033,0.0051,0.0025,0.1082,0.1149,0.1064,0.187
be,0.0318,0.0401,0.0264,0.2375,0.2447,0.2359,0.3557
de,0.0125,0.0137,0.0116,0.2116,0.2161,0.2144,0.3206
en,0.0381,0.0401,0.0363,0.2562,0.2641,0.2558,0.3722
fr,0.0107,0.3114,0.0055,0.088,0.0877,0.0882,0.1616
ja,0.0016,0.0009,0.0073,0.1786,0.1821,0.1784,0.2736
lt,0.0171,0.0188,0.0158,0.2493,0.2509,0.2509,0.3762
ru,0.0077,0.0075,0.0081,0.2076,0.21,0.2115,0.3219
uk,0.0056,0.0031,0.0262,0.2275,0.2312,0.2332,0.3473
zh,0.0019,0.001,0.0082,0.1972,0.198,0.2079,0.3163
