Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0042,0.0793,0.0022,0.1949,0.201,0.1937,0.3132
be,0.0064,0.0037,0.0234,0.2802,0.2845,0.2965,0.4118
de,0.0354,0.0588,0.0254,0.327,0.3512,0.3315,0.4522
en,0.045,0.0588,0.0364,0.3766,0.3937,0.3754,0.5029
fr,0.009,0.9635,0.0045,0.1495,0.1544,0.1485,0.2576
ja,0.2606,0.8115,0.1552,0.2807,0.2866,0.2906,0.4052
lt,0.0005,0.0003,0.0081,0.2323,0.236,0.2448,0.3575
ru,0.0088,0.0051,0.0312,0.2635,0.2748,0.2798,0.3951
uk,0.0022,0.0011,0.0311,0.2667,0.2769,0.2926,0.4039
zh,0.006,0.0034,0.0269,0.3008,0.3139,0.3196,0.4337
