Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0091,0.3738,0.0046,0.2117,0.217,0.2232,0.3522
be,0.0043,0.0035,0.0056,0.3141,0.3267,0.328,0.466
de,0.0103,0.256,0.0052,0.3528,0.3634,0.3605,0.5047
en,0.006,0.0063,0.0058,0.37,0.3781,0.385,0.5282
fr,0.0033,0.3617,0.0017,0.1227,0.1251,0.1287,0.2272
ja,0.007,0.4179,0.0035,0.314,0.3266,0.3145,0.4545
lt,0.0096,0.0967,0.005,0.292,0.3046,0.2998,0.4379
ru,0.0013,0.0007,0.0082,0.3572,0.3769,0.3779,0.5185
uk,0.009,0.4857,0.0046,0.3429,0.3585,0.3451,0.4923
zh,0.0079,0.0169,0.0051,0.3183,0.3317,0.3317,0.4754
