Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0089,0.7754,0.0045,0.2263,0.2317,0.2306,0.3585
be,0.0135,0.8206,0.0068,0.3697,0.3805,0.3733,0.512
de,0.0107,0.8162,0.0054,0.3707,0.3849,0.3721,0.52
en,0.0112,0.0303,0.0069,0.3903,0.4032,0.3942,0.5418
es,0.0131,0.8658,0.0066,0.3353,0.3474,0.3366,0.4853
fr,0.0035,0.75,0.0018,0.1292,0.1311,0.1287,0.2276
ja,0.0133,0.8621,0.0067,0.3899,0.4038,0.3917,0.5367
lt,0.0186,0.8897,0.0094,0.3548,0.3692,0.3549,0.5028
ru,0.0106,0.6687,0.0054,0.385,0.4001,0.3844,0.5333
uk,0.0156,0.0425,0.0096,0.3632,0.3772,0.3647,0.5074
zh,0.0101,0.836,0.0051,0.3468,0.3597,0.3464,0.4938
