Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0202,0.7279,0.0102,0.2158,0.2286,0.2219,0.3477
be,0.0066,0.0038,0.0234,0.2535,0.2657,0.265,0.3876
de,0.0363,0.0364,0.0363,0.3355,0.3479,0.337,0.4655
en,0.0115,0.0069,0.0364,0.3165,0.3316,0.3284,0.4542
fr,0.0089,0.5974,0.0045,0.1397,0.1397,0.1397,0.2435
ja,0.0038,0.002,0.0311,0.2519,0.2669,0.2522,0.3666
lt,0.0128,0.0166,0.0104,0.2531,0.2589,0.2696,0.3948
ru,0.0039,0.0021,0.031,0.2562,0.2676,0.2635,0.3841
uk,0.0029,0.0016,0.0232,0.2433,0.2565,0.2488,0.3677
zh,0.0188,0.0155,0.0238,0.2838,0.2905,0.2987,0.4229
