Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0057,0.6923,0.0028,0.2367,0.2433,0.2379,0.3714
be,0.0133,0.7113,0.0067,0.3672,0.3805,0.3696,0.5099
de,0.0107,0.5151,0.0054,0.3707,0.3849,0.3721,0.5186
en,0.0136,0.5767,0.0069,0.3928,0.4069,0.3942,0.5411
es,0.0011,0.0006,0.0068,0.3273,0.342,0.3353,0.4832
fr,0.0035,0.9231,0.0018,0.1292,0.1311,0.1287,0.2276
ja,0.0075,0.8031,0.0038,0.3703,0.3817,0.3733,0.5192
lt,0.0103,0.5182,0.0052,0.3353,0.3474,0.3366,0.483
ru,0.0009,0.0005,0.0057,0.3634,0.3775,0.3721,0.52
uk,0.0021,0.0013,0.0067,0.3567,0.3714,0.3574,0.5081
zh,0.0103,0.8526,0.0052,0.3762,0.3891,0.3758,0.5257
