Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0126,0.5736,0.0063,0.3128,0.318,0.3163,0.4628
be,0.0137,0.588,0.0069,0.3961,0.4136,0.3972,0.5409
de,0.0107,0.5297,0.0054,0.3716,0.3915,0.3715,0.5165
en,0.0138,0.5909,0.007,0.4231,0.443,0.423,0.5626
es,0.0132,0.5855,0.0067,0.3667,0.3768,0.3678,0.5195
fr,0.0,0.0,0.0018,0.1439,0.1458,0.1434,0.2505
ja,0.008,0.8098,0.004,0.4138,0.4357,0.4138,0.5592
lt,0.0137,0.5743,0.007,0.3844,0.4026,0.388,0.533
ru,0.0002,0.0001,0.0056,0.3986,0.4173,0.4009,0.5466
uk,0.0122,0.557,0.0062,0.376,0.3977,0.3763,0.521
zh,0.0031,0.0022,0.0052,0.3615,0.3818,0.3684,0.5184
