Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0044,0.0131,0.0027,0.128,0.1377,0.131,0.2265
be,0.0314,0.0382,0.0266,0.1912,0.2074,0.1947,0.3073
de,0.0123,0.016,0.01,0.2432,0.2523,0.2411,0.3677
en,0.0414,0.0512,0.0348,0.2726,0.2819,0.2801,0.4061
fr,0.0114,0.6088,0.0057,0.1121,0.1171,0.1115,0.2002
ja,0.0093,0.0114,0.0079,0.1947,0.2028,0.2037,0.3136
lt,0.0022,0.0013,0.0099,0.1918,0.1937,0.198,0.3116
ru,0.0286,0.0315,0.0262,0.1877,0.1957,0.1881,0.3017
uk,0.0349,0.0382,0.0321,0.2067,0.2144,0.2074,0.3236
zh,0.0092,0.0115,0.0076,0.1835,0.1852,0.1932,0.3035
