Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0047,0.0116,0.003,0.1573,0.1625,0.1563,0.2457
be,0.0071,0.0064,0.008,0.2164,0.2316,0.2151,0.2852
de,0.0079,0.0077,0.008,0.2139,0.228,0.2115,0.2828
en,0.0072,0.0066,0.0081,0.2093,0.228,0.2083,0.2749
es,0.0066,0.0055,0.0082,0.2237,0.2283,0.2234,0.295
fr,0.0111,0.4137,0.0056,0.088,0.0877,0.0882,0.1613
hy,0.006,0.0144,0.0038,0.066,0.0659,0.0662,0.1235
ja,0.0069,0.0059,0.0083,0.2144,0.2198,0.214,0.2761
lt,0.0076,0.0071,0.0083,0.1931,0.2087,0.1902,0.265
ru,0.007,0.006,0.0083,0.1953,0.2051,0.1938,0.2553
uk,0.0071,0.0063,0.0081,0.2309,0.2388,0.2302,0.313
zh,0.0063,0.0051,0.0084,0.2248,0.2343,0.2235,0.2777
