Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.006,0.2877,0.003,0.245,0.2495,0.2575,0.3955
be,0.0133,0.5401,0.0067,0.3476,0.3585,0.3513,0.4908
de,0.0106,0.5152,0.0054,0.3648,0.3768,0.366,0.5138
en,0.0135,0.5773,0.0068,0.3868,0.3989,0.388,0.5366
es,0.0127,0.4552,0.0064,0.3141,0.3267,0.3219,0.47
fr,0.0034,0.6604,0.0017,0.117,0.1164,0.1176,0.21
ja,0.0077,0.4222,0.0039,0.3525,0.3658,0.3549,0.4997
lt,0.0102,0.4839,0.0051,0.2986,0.3107,0.2998,0.4398
ru,0.0102,0.6355,0.0051,0.3507,0.3634,0.3513,0.4994
uk,0.0133,0.4461,0.0067,0.3642,0.3788,0.3721,0.5119
zh,0.001,0.0006,0.0051,0.3555,0.3664,0.3549,0.5036
