Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0043,0.2334,0.0021,0.1191,0.1232,0.1181,0.2056
be,0.0088,0.1972,0.0045,0.1226,0.1291,0.1207,0.207
de,0.0088,0.1898,0.0045,0.1298,0.1363,0.128,0.2173
en,0.0087,0.1673,0.0045,0.1371,0.1435,0.1353,0.229
fr,0.0067,0.5412,0.0034,0.0775,0.0804,0.0761,0.1411
hy,0.0034,0.3776,0.0017,0.0631,0.0657,0.0619,0.1165
ja,0.0089,0.2129,0.0046,0.1444,0.151,0.1426,0.2367
lt,0.0092,0.1929,0.0047,0.1165,0.1228,0.1148,0.198
ru,0.0087,0.2315,0.0044,0.1224,0.1288,0.1206,0.2082
uk,0.0086,0.1823,0.0044,0.1224,0.1288,0.1206,0.2067
zh,0.0086,0.2145,0.0044,0.1077,0.1141,0.1059,0.1842
