Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0245,0.0146,0.0773,0.3051,0.307,0.3233,0.4699
be,0.0554,0.0327,0.1805,0.4219,0.4331,0.434,0.5675
de,0.1152,0.0792,0.2107,0.4449,0.4511,0.4625,0.5993
en,0.0828,0.0528,0.1916,0.4655,0.4694,0.4936,0.6208
es,0.1049,0.0721,0.1924,0.4543,0.4644,0.4726,0.5972
fr,0.0449,0.9022,0.023,0.2666,0.2667,0.2665,0.4191
ja,0.1001,0.0686,0.1855,0.4386,0.4445,0.4561,0.5873
lt,0.0848,0.0546,0.1905,0.4227,0.4337,0.434,0.5739
ru,0.1287,0.0978,0.1882,0.4165,0.4194,0.4336,0.5639
uk,0.0499,0.0287,0.1902,0.4196,0.4288,0.4387,0.5655
zh,0.0289,0.0157,0.1816,0.4256,0.4411,0.445,0.5721
