Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0123,0.1821,0.0064,0.2604,0.2652,0.2687,0.4088
be,0.2148,0.8504,0.123,0.4551,0.4751,0.4582,0.6008
de,0.192,0.9001,0.1075,0.4882,0.5036,0.4939,0.6305
en,0.1926,0.9037,0.1078,0.5015,0.5159,0.5086,0.6514
fr,0.0201,0.9905,0.0101,0.1593,0.1618,0.1581,0.2727
ja,0.1804,0.7512,0.1025,0.4375,0.4492,0.4415,0.582
lt,0.1824,0.6986,0.1049,0.4207,0.4388,0.4269,0.5701
ru,0.1717,0.4281,0.1074,0.4369,0.4529,0.4351,0.5739
uk,0.1295,0.1688,0.1051,0.4519,0.4706,0.4583,0.6033
zh,0.1915,0.9059,0.107,0.4671,0.4782,0.4706,0.6157
