Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0001,0.0039,0.0,0.0515,0.0515,0.0515,0.0971
be,0.0046,0.1299,0.0023,0.086,0.0934,0.0854,0.1524
de,0.0088,0.1519,0.0046,0.1152,0.1289,0.1112,0.189
en,0.0098,0.2193,0.005,0.2185,0.2324,0.2143,0.3207
fr,0.0064,0.6061,0.0032,0.065,0.0732,0.0625,0.1175
hy,0.0031,0.8727,0.0015,0.0485,0.0512,0.0473,0.0902
ja,0.0032,0.0741,0.0016,0.0554,0.0657,0.0521,0.0963
lt,0.0063,0.1477,0.0032,0.0503,0.0585,0.048,0.0903
ru,0.0049,0.0936,0.0025,0.1007,0.1086,0.1001,0.1724
uk,0.0046,0.0941,0.0023,0.0567,0.0645,0.0621,0.1139
zh,0.0031,0.0654,0.0016,0.0558,0.0584,0.0546,0.1007
