Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0044,0.0125,0.0027,0.1149,0.1179,0.1236,0.2029
be,0.0103,0.0105,0.0102,0.1951,0.212,0.1938,0.2814
de,0.031,0.0374,0.0265,0.2153,0.2213,0.2201,0.3001
en,0.0281,0.0301,0.0263,0.2016,0.2079,0.2003,0.2851
es,0.0,0.0,0.0,0.0441,0.0441,0.0441,0.0845
fr,0.0111,0.407,0.0056,0.088,0.0877,0.0882,0.1611
ja,0.0362,0.0573,0.0265,0.2121,0.2226,0.2113,0.2877
lt,0.0097,0.0098,0.0097,0.2139,0.2203,0.2204,0.2986
ru,0.0093,0.0093,0.0094,0.2059,0.2194,0.2044,0.2861
uk,0.0251,0.0221,0.0291,0.1744,0.1913,0.1722,0.2489
zh,0.033,0.0441,0.0264,0.2057,0.2094,0.2058,0.287
