Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0039,0.0077,0.0026,0.1352,0.1377,0.1383,0.2331
be,0.0076,0.0074,0.0078,0.2094,0.2108,0.2185,0.3318
de,0.0085,0.0081,0.009,0.2395,0.2424,0.2433,0.3568
en,0.0132,0.0123,0.0143,0.1985,0.2078,0.2086,0.3174
fr,0.0108,0.3744,0.0055,0.088,0.0877,0.0882,0.1617
ja,0.0071,0.0067,0.0075,0.1898,0.1922,0.2054,0.3111
lt,0.0028,0.0017,0.0081,0.1984,0.2006,0.199,0.3099
ru,0.0078,0.0075,0.008,0.2061,0.2073,0.2112,0.3237
uk,0.0076,0.008,0.0072,0.1812,0.1833,0.1824,0.2893
zh,0.0072,0.0064,0.0082,0.2389,0.2421,0.241,0.3602
