Language,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Macro F1 QALD
ba,0.0003,0.0352,0.0002,0.0735,0.0735,0.0735,0.1351
be,0.021,0.0116,0.1117,0.1027,0.1052,0.1162,0.2
de,0.0125,0.2957,0.0064,0.1644,0.1736,0.1633,0.264
en,0.0131,0.0367,0.008,0.2263,0.2304,0.2342,0.3453
es,0.0,0.0,0.0,0.0441,0.0441,0.0441,0.0845
fr,0.0062,0.0071,0.0055,0.0881,0.0885,0.0952,0.1732
hy,0.006,0.0147,0.0038,0.0587,0.0586,0.0588,0.1107
ja,0.0045,0.0047,0.0043,0.0857,0.096,0.0906,0.1573
lt,0.0056,0.0052,0.0061,0.1132,0.1198,0.1131,0.1939
ru,0.0072,0.018,0.0045,0.1252,0.1315,0.1314,0.2216
uk,0.0021,0.0014,0.0045,0.0972,0.1009,0.1016,0.1771
zh,0.0069,0.0187,0.0043,0.0908,0.0977,0.0911,0.1593
